        Run ID                curve1_Int_e-field (f=9) (1)/real
----------------------------------------------------------------------
                       1                      0.89158198
                       2                        1.002072
                       3                       1.1075926
                       4                       1.2107797
                       5                       1.3110269
                       6                       1.4088355
                       7                       1.5044642
                       8                        1.597788
                       9                       1.6882101
                      10                      0.93693794
                      11                       1.0457214
                      12                       1.1590957
                      13                       1.2677537
                      14                       1.3748914
                      15                       1.4785166
                      16                       1.5795359
                      17                       1.6773637
                      18                       1.7730774
                      19                       0.9317283
                      20                       1.0399628
                      21                       1.1547476
                      22                       1.2652331
                      23                       1.3740348
                      24                       1.4794851
                      25                       1.5828696
                      26                       1.6832703
                      27                       1.7819009
                      28                      0.83374626
                      29                      0.93628587
                      30                       1.0438972
                      31                       1.1484415
                      32                       1.2524497
                      33                       1.3540931
                      34                       1.4551145
                      35                       1.5540831
                      36                       1.6526447
                      37                      0.60373327
                      38                      0.68982394
                      39                      0.77740199
                      40                      0.86480486
                      41                      0.95349201
                      42                       1.0422987
                      43                       1.1330921
                      44                       1.2244421
                      45                       1.3163501
                      46                      0.24908552
                      47                      0.30339557
                      48                      0.35662057
                      49                       0.4126909
                      50                      0.47298818
                      51                      0.53660504
                      52                      0.60571884
                      53                      0.67883651
                      54                      0.75519367
                      55                     -0.15014325
                      56                     -0.13853406
                      57                      -0.1289942
                      58                     -0.11406277
                      59                    -0.093349778
                      60                    -0.067860515
                      61                    -0.032620509
                      62                    0.0093995459
                      63                     0.058003431
                      64                     -0.48714002
                      65                     -0.51954809
                      66                     -0.55325937
                      67                      -0.5807811
                      68                     -0.60231072
                      69                     -0.61659992
                      70                     -0.62292755
                      71                     -0.61936802
                      72                     -0.60823299
                      73                     -0.70987718
                      74                     -0.77723908
                      75                     -0.84455837
                      76                       -0.906437
                      77                     -0.96239206
                      78                      -1.0115453
                      79                      -1.0542756
                      80                      -1.0879705
                      81                      -1.1141703
                      82                     -0.82950377
                      83                     -0.91801848
                      84                      -1.0064308
                      85                      -1.0904004
                      86                      -1.1700276
                      87                      -1.2442997
                      88                      -1.3131676
                      89                      -1.3750771
                      90                      -1.4306563
                      91                     -0.87685456
                      92                     -0.97681819
                      93                      -1.0758892
                      94                       -1.171931
                      95                      -1.2649507
                      96                      -1.3540394
                      97                      -1.4392151
                      98                      -1.5192193
                      99                      -1.5946516

