        Run ID                S2,1 (Re)/
----------------------------------------------------------------------
                       1                       0.9952018
                       2                      0.99384599
                       3                      0.99243486
                       4                      0.99092765
                       5                      0.98931989
                       6                       0.9874411
                       7                      0.98566361
                       8                      0.98379706
                       9                      0.98184293
                      10                      0.99324869
                      11                      0.99182925
                      12                       0.9900139
                      13                       0.9878458
                      14                      0.98577409
                      15                      0.98356982
                      16                      0.98125389
                      17                      0.97882843
                      18                      0.97631204
                      19                      0.99119664
                      20                      0.98906135
                      21                      0.98669973
                      22                      0.98416115
                      23                      0.98144998
                      24                       0.9785739
                      25                      0.97557111
                      26                      0.97245068
                      27                      0.96922039
                      28                      0.98878415
                      29                      0.98605161
                      30                      0.98301601
                      31                      0.97975319
                      32                      0.97627828
                      33                      0.97261349
                      34                      0.96879277
                      35                      0.96484141
                      36                      0.96075977
                      37                      0.98641479
                      38                      0.98304331
                      39                      0.97931358
                      40                      0.97530709
                      41                      0.97104282
                      42                      0.96655314
                      43                      0.96186229
                      44                      0.95701123
                      45                      0.95229686
                      46                      0.98480188
                      47                      0.98093423
                      48                      0.97668275
                      49                      0.97210473
                      50                      0.96721392
                      51                      0.96204467
                      52                       0.9565987
                      53                      0.95093825
                      54                      0.94540436
                      55                      0.98455598
                      56                      0.98052688
                      57                      0.97609054
                      58                      0.97126881
                      59                      0.96635339
                      60                      0.96075215
                      61                      0.95481857
                      62                      0.94898194
                      63                      0.94254641
                      64                      0.98566883
                      65                      0.98182025
                      66                      0.97757585
                      67                      0.97294346
                      68                      0.96816218
                      69                      0.96280588
                      70                      0.95704877
                      71                      0.95086342
                      72                      0.94433689
                      73                      0.98749827
                      74                      0.98403384
                      75                      0.98021871
                      76                      0.97602384
                      77                      0.97143415
                      78                      0.96645627
                      79                      0.96135199
                      80                      0.95556838
                      81                      0.94939955
                      82                       0.9894326
                      83                      0.98640596
                      84                      0.98309089
                      85                      0.97943009
                      86                      0.97539975
                      87                      0.97100457
                      88                      0.96647652
                      89                      0.96130321
                      90                      0.95573624
                      91                       0.9911144
                      92                      0.98852217
                      93                       0.9856856
                      94                      0.98254283
                      95                      0.97906906
                      96                      0.97526539
                      97                      0.97133466
                      98                      0.96682003
                      99                      0.96193295

        Run ID                S2,1 (Im)/
----------------------------------------------------------------------
                       1                   -0.0040883373
                       2                   -0.0059989897
                       3                   -0.0081085546
                       4                    -0.010396808
                       5                    -0.012865993
                       6                    -0.015567946
                       7                    -0.018377171
                       8                    -0.021340693
                       9                    -0.024443013
                      10                   -0.0046192519
                      11                   -0.0065335397
                      12                    -0.008758718
                      13                    -0.011254838
                      14                    -0.013880508
                      15                    -0.016691147
                      16                    -0.019674199
                      17                     -0.02281038
                      18                    -0.026093206
                      19                   -0.0045669963
                      20                   -0.0066328699
                      21                   -0.0089084136
                      22                    -0.011389001
                      23                    -0.014070785
                      24                    -0.016933277
                      25                    -0.019976296
                      26                    -0.023177064
                      27                    -0.026537736
                      28                    -0.003814541
                      29                   -0.0057837294
                      30                      -0.0079169
                      31                    -0.010242807
                      32                    -0.012767514
                      33                    -0.015472949
                      34                    -0.018375318
                      35                    -0.021451543
                      36                    -0.024705878
                      37                   -0.0020102662
                      38                   -0.0035941914
                      39                   -0.0052785979
                      40                   -0.0071401343
                      41                   -0.0092008204
                      42                    -0.011447638
                      43                    -0.013910377
                      44                    -0.016568016
                      45                    -0.019302432
                      46                   0.00087666641
                      47                   4.3888196e-06
                      48                  -0.00090947511
                      49                   -0.0019796674
                      50                   -0.0032480176
                      51                   -0.0046942995
                      52                   -0.0063609559
                      53                   -0.0082310661
                      54                    -0.010259245
                      55                    0.0042500327
                      56                    0.0042633119
                      57                    0.0043099579
                      58                    0.0042925632
                      59                    0.0040512306
                      60                    0.0035294512
                      61                     0.002924323
                      62                    0.0021336065
                      63                    0.0011786695
                      64                    0.0071670201
                      65                    0.0079892834
                      66                     0.008885137
                      67                     0.009762433
                      68                     0.010553507
                      69                     0.011103154
                      70                     0.011562624
                      71                     0.012009931
                      72                     0.012307773
                      73                    0.0091479744
                      74                      0.01055986
                      75                     0.012069121
                      76                     0.013621641
                      77                     0.015192217
                      78                     0.016745341
                      79                     0.018149671
                      80                     0.019590891
                      81                     0.020966237
                      82                     0.010262265
                      83                     0.012019917
                      84                     0.013904587
                      85                     0.015892063
                      86                     0.017970101
                      87                     0.020108199
                      88                     0.022169186
                      89                     0.024346917
                      90                     0.026526687
                      91                     0.010761489
                      92                     0.012684615
                      93                     0.014756783
                      94                     0.016970248
                      95                     0.019320466
                      96                     0.021783835
                      97                     0.024227371
                      98                     0.026853703
                      99                     0.029541285

