        Run ID                curve1_Int_e-field (f=9) (1)_1/real
----------------------------------------------------------------------
                       1                     -0.60867314
                       2                     -0.68655688
                       3                     -0.75814671
                       4                     -0.82702152
                       5                     -0.89359887
                       6                     -0.95804377
                       7                       -1.020538
                       8                      -1.0808472
                       9                      -1.1391313
                      10                     -0.81262406
                      11                     -0.89914135
                      12                     -0.99121878
                      13                      -1.0796153
                      14                      -1.1653753
                      15                      -1.2478363
                      16                         -1.3267
                      17                      -1.4023951
                      18                      -1.4750833
                      19                      -1.0593126
                      20                      -1.1698186
                      21                      -1.2888548
                      22                      -1.4017972
                      23                      -1.5110748
                      24                      -1.6159057
                      25                      -1.7152326
                      26                      -1.8096177
                      27                         -1.9002
                      28                      -1.3474997
                      29                      -1.4866954
                      30                      -1.6372615
                      31                      -1.7798382
                      32                      -1.9174284
                      33                      -2.0484948
                      34                      -2.1726943
                      35                      -2.2896046
                      36                      -2.4020622
                      37                      -1.6223981
                      38                      -1.7950153
                      39                      -1.9781167
                      40                        -2.15283
                      41                      -2.3205608
                      42                      -2.4806394
                      43                      -2.6329232
                      44                      -2.7767709
                      45                      -2.9141468
                      46                      -1.7971174
                      47                      -1.9989163
                      48                      -2.2085825
                      49                      -2.4099524
                      50                      -2.6046385
                      51                      -2.7919449
                      52                      -2.9720344
                      53                      -3.1436933
                      54                      -3.3081747
                      55                       -1.805344
                      56                      -2.0204827
                      57                      -2.2417557
                      58                      -2.4562657
                      59                      -2.6654394
                      60                      -2.8706473
                      61                      -3.0715793
                      62                      -3.2637411
                      63                      -3.4529151
                      64                      -1.6617807
                      65                      -1.8727035
                      66                      -2.0866214
                      67                      -2.2977083
                      68                      -2.5069356
                      69                      -2.7123595
                      70                      -2.9164138
                      71                      -3.1176904
                      72                      -3.3175688
                      73                      -1.4450848
                      74                      -1.6357079
                      75                      -1.8285855
                      76                      -2.0210251
                      77                       -2.214081
                      78                      -2.4068851
                      79                      -2.6010258
                      80                      -2.7954635
                      81                      -2.9904121
                      82                      -1.2180107
                      83                      -1.3849375
                      84                      -1.5530407
                      85                      -1.7213005
                      86                      -1.8916802
                      87                      -2.0637087
                      88                      -2.2380622
                      89                      -2.4152134
                      90                      -2.5948114
                      91                      -1.0214023
                      92                      -1.1630634
                      93                      -1.3060792
                      94                      -1.4502806
                      95                      -1.5971297
                      96                      -1.7463208
                      97                      -1.8986591
                      98                      -2.0544408
                      99                      -2.2139443

