#
#"Run ID"	"curve1_Int_e-field (f=9) (1)_1"
#-----------------------------------------
1.0000000000000	-0.60925048860868
2.0000000000000	-0.80470393121607
3.0000000000000	-1.0487815417123
4.0000000000000	-1.3310127036754
5.0000000000000	-1.6010914361244
6.0000000000000	-1.7739363466533
7.0000000000000	-1.7847774539534
8.0000000000000	-1.6478450118406
9.0000000000000	-1.4354212961484
10.000000000000	-1.2149558990891
11.000000000000	-1.0203374744604
12.000000000000	-0.74568110796920
13.000000000000	-0.98368539277775
14.000000000000	-1.2794549135029
15.000000000000	-1.6244601211952
16.000000000000	-1.9634159887137
17.000000000000	-2.1961037312354
18.000000000000	-2.2374503210231
19.000000000000	-2.0912931777881
20.000000000000	-1.8396565253143
21.000000000000	-1.5666882693940
22.000000000000	-1.3203152179640
23.000000000000	-0.88750396521201
24.000000000000	-1.1698387076326
25.000000000000	-1.5189848118530
26.000000000000	-1.9251651058177
27.000000000000	-2.3237731093157
28.000000000000	-2.6003401086329
29.000000000000	-2.6544332931727
30.000000000000	-2.4893300917574
31.000000000000	-2.1969011962240
32.000000000000	-1.8778582076365
33.000000000000	-1.5862780121826
34.000000000000	-1.0259976583625
35.000000000000	-1.3354320220177
36.000000000000	-1.7267285207268
37.000000000000	-2.1836037152290
38.000000000000	-2.6393081813899
39.000000000000	-2.9675914103157
40.000000000000	-3.0558056191429
41.000000000000	-2.8933670527918
42.000000000000	-2.5762300117818
43.000000000000	-2.2150062345538
44.000000000000	-1.8792080093522
45.000000000000	-1.1202933942871
46.000000000000	-1.4549273113942
47.000000000000	-1.8786047193266
48.000000000000	-2.3754241221701
49.000000000000	-2.8793916445418
50.000000000000	-3.2664978407242
51.000000000000	-3.4082157796246
52.000000000000	-3.2740598232303
53.000000000000	-2.9513532644372
54.000000000000	-2.5610300636301
55.000000000000	-2.1865094350385
56.000000000000	-1.2021475178831
57.000000000000	-1.5522693629806
58.000000000000	-1.9952642472764
59.000000000000	-2.5249474852102
60.000000000000	-3.0836406625075
61.000000000000	-3.5477385990026
62.000000000000	-3.7774163971399
63.000000000000	-3.7068829272723
64.000000000000	-3.4030517461389
65.000000000000	-2.9924203487786
66.000000000000	-2.5759866097895
67.000000000000	-1.3212374352231
68.000000000000	-1.6970230948406
69.000000000000	-2.1726823359945
70.000000000000	-2.7371276190232
71.000000000000	-3.3315500722349
72.000000000000	-3.8291599385412
73.000000000000	-4.0881785322472
74.000000000000	-4.0378773990868
75.000000000000	-3.7358091218281
76.000000000000	-3.3097909945000
77.000000000000	-2.8677431569151
78.000000000000	-1.3885668259435
79.000000000000	-1.7769720346226
80.000000000000	-2.2671985408303
81.000000000000	-2.8525928557646
82.000000000000	-3.4857433296679
83.000000000000	-4.0529045670912
84.000000000000	-4.4017412234495
85.000000000000	-4.4368074102721
86.000000000000	-4.1845019169905
87.000000000000	-3.7648300785218
88.000000000000	-3.2959898674788
89.000000000000	-1.4621788627034
90.000000000000	-1.8581783571726
91.000000000000	-2.3593203406802
92.000000000000	-2.9603596255891
93.000000000000	-3.6153684675916
94.000000000000	-4.2190412960681
95.000000000000	-4.6232475168642
96.000000000000	-4.7188935744792
97.000000000000	-4.5116258862757
98.000000000000	-4.1084729714530
99.000000000000	-3.6319596053562
100.00000000000	-1.5462791559910
101.00000000000	-1.9585894520138
102.00000000000	-2.4737422595363
103.00000000000	-3.0887556973273
104.00000000000	-3.7627987360300
105.00000000000	-4.3976361557286
106.00000000000	-4.8511773712000
107.00000000000	-5.0062538817539
108.00000000000	-4.8485272372823
109.00000000000	-4.4685321620003
110.00000000000	-3.9901061665025
111.00000000000	-1.6141599113069
112.00000000000	-2.0310526507073
113.00000000000	-2.5560790064167
114.00000000000	-3.1802109777137
115.00000000000	-3.8696767558070
116.00000000000	-4.5306882481991
117.00000000000	-5.0309903953365
118.00000000000	-5.2483027509912
119.00000000000	-5.1490344686500
120.00000000000	-4.8077391223969
121.00000000000	-4.3414571989528
122.00000000000	-1.6904737066877
123.00000000000	-2.1250639674420
124.00000000000	-2.6600748224131
125.00000000000	-3.2958302739403
126.00000000000	-3.9986236631533
127.00000000000	-4.6850341146372
128.00000000000	-5.2234642652178
129.00000000000	-5.4917542433740
130.00000000000	-5.4425058368504
131.00000000000	-5.1342165439973
132.00000000000	-4.6785589078816
133.00000000000	-1.7513792712221
134.00000000000	-2.1850036809018
135.00000000000	-2.7194451377895
136.00000000000	-3.3534064397920
137.00000000000	-4.0571399283419
138.00000000000	-4.7523051409333
139.00000000000	-5.3185538359328
140.00000000000	-5.6323588970181
141.00000000000	-5.6386195576217
142.00000000000	-5.3781298866005
143.00000000000	-4.9514589170677
144.00000000000	-1.8071853109180
145.00000000000	-2.2466747434219
146.00000000000	-2.7855946695094
147.00000000000	-3.4245920067365
148.00000000000	-4.1346510704619
149.00000000000	-4.8433697867036
150.00000000000	-5.4352207124418
151.00000000000	-5.7915175354049
152.00000000000	-5.8489529482797
153.00000000000	-5.6319905299481
154.00000000000	-5.2326632163387
155.00000000000	-1.8430147792781
156.00000000000	-2.2871719152727
157.00000000000	-2.8296599712527
158.00000000000	-3.4717616408780
159.00000000000	-4.1852797533665
160.00000000000	-4.9049107146410
161.00000000000	-5.5244280272887
162.00000000000	-5.9245116436342
163.00000000000	-6.0354031820838
164.00000000000	-5.8682456908209
165.00000000000	-5.5028328240687
166.00000000000	-1.8839804275970
167.00000000000	-2.3258782712003
168.00000000000	-2.8643943655029
169.00000000000	-3.5004362055496
170.00000000000	-4.2101985690804
171.00000000000	-4.9343510330039
172.00000000000	-5.5719851475464
173.00000000000	-6.0090030350225
174.00000000000	-6.1696715585388
175.00000000000	-6.0538639222634
176.00000000000	-5.7287732384035
177.00000000000	-1.9044404008696
178.00000000000	-2.3421051469770
179.00000000000	-2.8734982235254
180.00000000000	-3.5042109469649
181.00000000000	-4.2114025660136
182.00000000000	-4.9327186478279
183.00000000000	-5.5700046785289
184.00000000000	-6.0139974700568
185.00000000000	-6.1876776831897
186.00000000000	-6.0888416595280
187.00000000000	-5.7824178886614
