        Run ID                S1,1 (Re)/
----------------------------------------------------------------------
   
                       2                   -0.0014676396
                       3                   -0.0031029393
                       4                   -0.0059058403
                       5                     -0.00649945
                       6                   -0.0046913737
                       7                   -0.0030212228
                       8                   -0.0064350416
                       9                    -0.012319153
                      10                    -0.013739909
                      11                    -0.010219761
                      12                    -0.005072267
                      13                    -0.010718064
                      14                    -0.020586411
                      15                    -0.023782897
                      16                     -0.01804589
                      17                   -0.0076383471
                      18                    -0.015898963
                      19                    -0.030417139
                      20                    -0.036140813
                      21                    -0.028232284
                      22                    -0.010472102
                      23                    -0.021463019
                      24                    -0.041047628
                      25                    -0.050866556
                      26                    -0.041311783
                      27                    -0.013637812
                      28                    -0.027630495
                      29                    -0.052601194
                      30                    -0.067365827
                      31                    -0.056687214
                      32                    -0.017153554
                      33                     -0.03400485
                      34                    -0.064223009
                      35                    -0.085380219
                      36                    -0.074659418
                      37                    -0.020887088
                      38                    -0.040798558
                      39                    -0.076316293
                      40                     -0.10410461
                      41                    -0.095062493
                      42                    -0.024577793
                      43                    -0.047011584
                      44                    -0.086974917
                      45                     -0.12257358
                      46                     -0.11724703
                      47                    -0.028489756
                      48                    -0.053551934
                      49                    -0.097728337
                      50                     -0.14075947
                      51                     -0.14054398
                      52                    -0.032390139
                      53                    -0.059895182
                      54                     -0.10792849
                      55                     -0.15814372
                      56                     -0.16427167
                      57                    -0.036262885
                      58                    -0.065957017
                      59                     -0.11723084
                      60                     -0.17382257
                      61                       -0.187507
                      62                    -0.040440664
                      63                    -0.072227789
                      64                     -0.12639224
                      65                      -0.1884659
                      66                     -0.20997865
                      67                    -0.044298082
                      68                    -0.077776847
                      69                      -0.1340787
                      70                      -0.2009391
                      71                     -0.23094163
                      72                    -0.047918835
                      73                    -0.083013467
                      74                     -0.14129712
                      75                     -0.21234095
                      76                     -0.25004115
                      77                     -0.05176492
                      78                    -0.088642957
                      79                     -0.14910487
                      80                     -0.22353534
                      81                     -0.26725718
                      82                    -0.055038988
                      83                    -0.093325387
                      84                     -0.15547518
                      85                     -0.23272035
                      86                     -0.28278188

        Run ID                S1,1 (Im)/
----------------------------------------------------------------------

                       2                    0.0019170632
                       3                    0.0012259928
                       4                    0.0022008104
                       5                    0.0057177487
                       6                    0.0073972108
                       7                   -0.0011757266
                       8                   -0.0025428814
                       9                  -0.00044313339
                      10                    0.0070479465
                      11                      0.01090988
                      12                   -0.0052099099
                      13                   -0.0074869249
                      14                   -0.0043003771
                      15                     0.008280812
                      16                     0.015341676
                      17                    -0.010154366
                      18                    -0.013475042
                      19                   -0.0091747337
                      20                    0.0091868556
                      21                     0.020530495
                      22                    -0.015862061
                      23                    -0.020463569
                      24                    -0.015602928
                      25                    0.0086692036
                      26                     0.025641233
                      27                    -0.022257105
                      28                    -0.028299697
                      29                    -0.023038155
                      30                    0.0071579754
                      31                     0.030578278
                      32                    -0.029188189
                      33                     -0.03674416
                      34                    -0.031748424
                      35                    0.0033994089
                      36                     0.034830693
                      37                    -0.036815052
                      38                    -0.045890892
                      39                    -0.041175843
                      40                   -0.0016049062
                      41                     0.037167014
                      42                    -0.044445952
                      43                     -0.05512634
                      44                    -0.051743875
                      45                    -0.010127141
                      46                     0.037427057
                      47                    -0.052399902
                      48                    -0.064614052
                      49                    -0.062498742
                      50                    -0.019719688
                      51                     0.035046857
                      52                     -0.06067499
                      53                    -0.074448304
                      54                    -0.073848938
                      55                     -0.03100039
                      56                     0.030068704
                      57                    -0.068888649
                      58                    -0.084055593
                      59                    -0.085044325
                      60                    -0.043323837
                      61                     0.023108645
                      62                    -0.077076183
                      63                    -0.093544598
                      64                     -0.09591579
                      65                    -0.055671737
                      66                     0.012541303
                      67                    -0.085068304
                      68                     -0.10273599
                      69                     -0.10683179
                      70                     -0.06940891
                      71                   0.00060499508
                      72                    -0.092893783
                      73                     -0.11180201
                      74                      -0.1176098
                      75                    -0.083085715
                      76                    -0.012258823
                      77                     -0.10068165
                      78                     -0.12065377
                      79                     -0.12761905
                      80                    -0.095078331
                      81                    -0.025110634
                      82                     -0.10774356
                      83                      -0.1288795
                      84                     -0.13725983
                      85                     -0.10730579
                      86                    -0.038975534

