        Run ID                curve1_Int_e-field (f=9) (1)_1/real
----------------------------------------------------------------------

                       2                     -0.87314649
                       3                       -1.808578
                       4                      -3.3588978
                       5                      -3.5984219
                       6                      -2.5359225
                       7                      -1.2522237
                       8                      -2.5869362
                       9                      -4.8013964
                      10                      -5.2050512
                      11                      -3.7986092
                      12                      -1.6207593
                      13                       -3.310005
                      14                      -6.1678789
                      15                      -6.9358176
                      16                      -5.0795812
                      17                      -1.9842065
                      18                      -4.0018945
                      19                      -7.4395722
                      20                      -8.6065838
                      21                       -6.579826
                      22                      -2.2779254
                      23                      -4.5191869
                      24                      -8.3954293
                      25                      -10.130231
                      26                      -8.1479338
                      27                      -2.5678804
                      28                      -5.0375309
                      29                      -9.3101042
                      30                      -11.609886
                      31                      -9.8087167
                      32                      -2.8299879
                      33                      -5.4366232
                      34                      -9.9839967
                      35                      -12.928138
                      36                      -11.171326
                      37                      -3.0786024
                      38                      -5.8204522
                      39                      -10.580747
                      40                       -14.06513
                      41                       -12.89189
                      42                      -3.2659558
                      43                      -6.0610311
                      44                       -10.89905
                      45                       -14.97182
                      46                       -14.43468
                      47                      -3.5023359
                      48                      -6.3925383
                      49                      -11.350863
                      50                      -15.962764
                      51                      -16.078835
                      52                      -3.6797243
                      53                      -6.6079153
                      54                      -11.588186
                      55                      -16.565107
                      56                      -17.205363
                      57                      -3.8293568
                      58                      -6.7575642
                      59                      -11.689402
                      60                      -16.913451
                      61                      -18.206635
                      62                      -3.9472427
                      63                      -6.8497975
                      64                      -11.681142
                      65                       -17.00257
                      66                      -19.292672
                      67                      -4.1340889
                      68                      -7.0564357
                      69                      -11.853414
                      70                      -17.350087
                      71                      -20.069854
                      72                      -4.1900211
                      73                      -7.0708241
                      74                      -11.729913
                      75                      -17.224197
                      76                      -20.589967
                      77                       -4.262989
                      78                      -7.0944004
                      79                       -11.63552
                      80                      -17.052715
                      81                      -20.730299
                      82                      -4.3696977
                      83                      -7.2066452
                      84                      -11.721532
                      85                      -17.166352
                      86                      -21.227278

