        Run ID                curve2_Int_e-field (f=9) (1)/real
----------------------------------------------------------------------

                       2                       1.1026838
                       3                       1.0144388
                       4                      -0.2152512
                       5                      -2.2370854
                       6                      -2.7160831
                       7                       1.5986952
                       8                       1.4813599
                       9                     -0.26482757
                      10                      -3.1733548
                      11                      -3.9310673
                      12                        2.069231
                      13                       1.9510008
                      14                     -0.15460678
                      15                      -3.9468602
                      16                      -5.1002089
                      17                       2.5230387
                      18                       2.3964736
                      19                    -0.019569226
                      20                      -4.5940458
                      21                      -6.2007452
                      22                       2.9495038
                      23                       2.8519793
                      24                      0.29246302
                      25                      -4.9725965
                      26                      -7.1970286
                      27                       3.3551824
                      28                       3.2817718
                      29                      0.61827859
                      30                      -5.2196408
                      31                      -8.0495249
                      32                       3.7212213
                      33                       3.6879526
                      34                       1.0523686
                      35                       -5.172576
                      36                      -8.7843166
                      37                       4.0854838
                      38                       4.0729126
                      39                       1.4520569
                      40                      -5.0418387
                      41                      -9.2528487
                      42                       4.3963378
                      43                        4.438025
                      44                       1.9854527
                      45                      -4.5312878
                      46                      -9.5102297
                      47                       4.6812555
                      48                       4.7645753
                      49                       2.4614364
                      50                      -3.9604539
                      51                       -9.501238
                      52                       4.9520905
                      53                       5.0730737
                      54                       2.9302772
                      55                      -3.3057644
                      56                      -9.2884774
                      57                       5.1989123
                      58                       5.3518456
                      59                        3.369861
                      60                      -2.5890715
                      61                      -8.9173866
                      62                       5.4000656
                      63                       5.5739905
                      64                       3.7306828
                      65                      -1.9203761
                      66                      -8.2973351
                      67                       5.5861218
                      68                        5.789267
                      69                       4.1200696
                      70                      -1.1415638
                      71                      -7.5749815
                      72                       5.7393699
                      73                        5.974295
                      74                       4.4668749
                      75                     -0.41695336
                      76                      -6.8354759
                      77                       5.9103281
                      78                       6.1551329
                      79                        4.731833
                      80                      0.11087233
                      81                      -6.0982941
                      82                       6.0194841
                      83                       6.2885384
                      84                       4.9756134
                      85                      0.65524589
                      86                      -5.3373517

