        Run ID                curve1_Int_e-field (f=9) (1)/real
----------------------------------------------------------------------

                       2                       1.6156024
                       3                       1.9078094
                       4                       1.2270498
                       5                     -0.84571092
                       6                      -1.8131546
                       7                       2.3252801
                       8                        2.755085
                       9                        1.805034
                      10                      -1.1372467
                      11                      -2.5915057
                      12                        3.027773
                      13                       3.6002458
                      14                       2.5094835
                      15                      -1.2609019
                      16                      -3.2223971
                      17                       3.7226148
                      18                       4.4202881
                      19                       3.2153982
                      20                      -1.2733492
                      21                       -3.889889
                      22                       4.3096582
                      23                       5.1252997
                      24                       3.9650275
                      25                     -0.99477179
                      26                      -4.3112175
                      27                       4.8939464
                      28                       5.8316966
                      29                       4.7172072
                      30                     -0.62377681
                      31                      -4.6729956
                      32                       5.4111918
                      33                       6.4401036
                      34                       5.4764283
                      35                    0.0030735541
                      36                      -4.7131396
                      37                       5.9078416
                      38                       7.0103703
                      39                       6.1554743
                      40                      0.64861687
                      41                      -4.5873578
                      42                       6.3137156
                      43                       7.4970364
                      44                       6.8629934
                      45                       1.6059106
                      46                      -4.2211125
                      47                       6.7979602
                      48                       8.0614977
                      49                       7.6001687
                      50                       2.5726793
                      51                      -3.6615087
                      52                       7.1829105
                      53                       8.5006207
                      54                       8.2151162
                      55                       3.5340013
                      56                      -2.8478593
                      57                       7.5016609
                      58                       8.8437713
                      59                       8.7147954
                      60                       4.4546207
                      61                       -1.978549
                      62                       7.7223563
                      63                       9.0715794
                      64                       9.0709648
                      65                       5.2367701
                      66                     -0.91083695
                      67                       8.1044743
                      68                       9.4930063
                      69                       9.6262857
                      70                        6.186467
                      71                      0.16751492
                      72                       8.2536792
                      73                        9.663958
                      74                        9.916901
                      75                       6.9074533
                      76                       1.2108303
                      77                       8.3933784
                      78                       9.7741156
                      79                       10.093182
                      80                       7.4053828
                      81                       2.1285408
                      82                       8.6416996
                      83                       10.050982
                      84                       10.463884
                      85                       8.0503411
                      86                       3.0916448

