        Run ID                S2,1 (Re)/
----------------------------------------------------------------------

                       2                      0.99887386
                       3                      0.99689351
                       4                      0.99418683
                       5                      0.99360233
                       6                      0.99522728
                       7                      0.99709025
                       8                       0.9935249
                       9                      0.98767005
                      10                      0.98613731
                      11                      0.98968596
                      12                      0.99479187
                      13                      0.98900667
                      14                      0.97916374
                      15                      0.97624767
                      16                      0.98175489
                      17                      0.99229741
                      18                      0.98412083
                      19                       0.9695888
                      20                      0.96392297
                      21                      0.97161775
                      22                      0.98931918
                      23                      0.97838954
                      24                      0.95896667
                      25                      0.94918773
                      26                      0.95860366
                      27                      0.98625737
                      28                      0.97221786
                      29                      0.94720738
                      30                      0.93271629
                      31                      0.94323236
                      32                      0.98282264
                      33                      0.96588374
                      34                      0.93581425
                      35                        0.914758
                      36                      0.92535487
                      37                      0.97914161
                      38                      0.95916788
                      39                      0.92368513
                      40                      0.89586026
                      41                      0.90491771
                      42                      0.97549098
                      43                      0.95301191
                      44                      0.91302369
                      45                      0.87745242
                      46                       0.8827176
                      47                      0.97160629
                      48                      0.94655214
                      49                      0.90239338
                      50                      0.85931772
                      51                      0.85944619
                      52                      0.96758519
                      53                      0.94011595
                      54                       0.8920901
                      55                      0.84187702
                      56                      0.83572519
                      57                      0.96366654
                      58                      0.93396821
                      59                      0.88265921
                      60                      0.82610843
                      61                      0.81251527
                      62                      0.95953911
                      63                      0.92773424
                      64                      0.87360436
                      65                      0.81157501
                      66                       0.7900198
                      67                      0.95565404
                      68                      0.92215498
                      69                      0.86591208
                      70                      0.79910225
                      71                      0.76905342
                      72                      0.95204223
                      73                       0.9169063
                      74                      0.85859956
                      75                      0.78766808
                      76                      0.74995713
                      77                      0.94816417
                      78                      0.91132069
                      79                      0.85089075
                      80                      0.77644569
                      81                      0.73273689
                      82                      0.94495231
                      83                      0.90660808
                      84                      0.84448096
                      85                      0.76723788
                      86                      0.71718735

        Run ID                S2,1 (Im)/
----------------------------------------------------------------------

                       2                   0.00048834512
                       3                  -0.00021182233
                       4                    0.0012642177
                       5                    0.0049378878
                       6                     0.006908217
                       7                   -0.0028087028
                       8                   -0.0040623398
                       9                   -0.0016527816
                      10                    0.0060895647
                      11                     0.010110372
                      12                     -0.00722728
                      13                   -0.0092299229
                      14                   -0.0057885258
                      15                    0.0070075802
                      16                     0.014140387
                      17                    -0.012339593
                      18                    -0.015381518
                      19                    -0.010924049
                      20                    0.0074925935
                      21                     0.019043314
                      22                    -0.018122832
                      23                    -0.022548507
                      24                    -0.017670861
                      25                    0.0066778151
                      26                     0.023775315
                      27                     -0.02478576
                      28                    -0.030772273
                      29                    -0.025409977
                      30                    0.0048498174
                      31                     0.028363723
                      32                    -0.031962101
                      33                    -0.039627639
                      34                    -0.034532294
                      35                   0.00045980813
                      36                     0.032099447
                      37                    -0.039853631
                      38                    -0.048980106
                      39                    -0.044388114
                      40                   -0.0049544525
                      41                     0.033753282
                      42                    -0.047845523
                      43                     -0.05864191
                      44                    -0.055380968
                      45                    -0.014005943
                      46                     0.033440724
                      47                    -0.056205297
                      48                    -0.068654672
                      49                    -0.066834638
                      50                    -0.024447026
                      51                     0.030355071
                      52                    -0.064815017
                      53                    -0.078868412
                      54                    -0.078594022
                      55                    -0.036193435
                      56                     0.024664464
                      57                    -0.073398595
                      58                    -0.088915952
                      59                    -0.090247729
                      60                    -0.048907987
                      61                     0.016974908
                      62                    -0.082022822
                      63                    -0.098911125
                      64                     -0.10172243
                      65                    -0.062045867
                      66                    0.0056027508
                      67                    -0.090462862
                      68                     -0.10863863
                      69                     -0.11320766
                      70                      -0.0764645
                      71                   -0.0071099405
                      72                    -0.098635454
                      73                     -0.11810623
                      74                     -0.12455109
                      75                    -0.090739856
                      76                    -0.020718983
                      77                     -0.10676494
                      78                     -0.12742272
                      79                     -0.13512236
                      80                     -0.10339255
                      81                    -0.034271187
                      82                     -0.11428768
                      83                     -0.13613331
                      84                     -0.14529589
                      85                     -0.11622141
                      86                    -0.048748707

