#
#"Run ID"	"S1,1 [Re]"	"S1,1 [Im]"	"Ref.Imp. [Re]"	"Ref.Imp. [Im]"
#----------------------------------------------------------------
1.0000000000000	-0.0048935101200126	-0.0023528570232334	549.99491377313	0.0000000000000
2.0000000000000	-0.0065136419659982	-0.0028298268977771	549.99477647664	0.0000000000000
3.0000000000000	-0.0085695148446760	-0.0028873747002987	549.99470624269	0.0000000000000
4.0000000000000	-0.010969716298608	-0.0021976462711047	549.99467827951	0.0000000000000
5.0000000000000	-0.013309389643821	-0.00043119716623593	549.99466497331	0.0000000000000
6.0000000000000	-0.014873019426306	0.0023807032609651	549.99465743955	0.0000000000000
7.0000000000000	-0.015090292859279	0.0056195104949300	549.99465248403	0.0000000000000
8.0000000000000	-0.014047258169143	0.0084066716355052	549.99464885035	0.0000000000000
9.0000000000000	-0.012344315448708	0.010292110504706	549.99464598972	0.0000000000000
10.000000000000	-0.010535294236611	0.011320915129226	549.99464358223	0.0000000000000
11.000000000000	-0.0089194151580146	0.011746419641474	549.99464147673	0.0000000000000
12.000000000000	-0.0074673381093587	-0.0061801642714028	549.99531076787	0.0000000000000
13.000000000000	-0.0098669185139314	-0.0068907354331886	549.99536551428	0.0000000000000
14.000000000000	-0.012966799540603	-0.0070211843332776	549.99538144289	0.0000000000000
15.000000000000	-0.016624959925537	-0.0060688411112590	549.99538523305	0.0000000000000
16.000000000000	-0.020278928214425	-0.0035191811937620	549.99538477895	0.0000000000000
17.000000000000	-0.022886911283836	0.00066833432535879	549.99538294660	0.0000000000000
18.000000000000	-0.023517182362130	0.0056535047717831	549.99538089024	0.0000000000000
19.000000000000	-0.022163300526880	0.010123286240287	549.99537905305	0.0000000000000
20.000000000000	-0.019654131540356	0.013282023091537	549.99537757049	0.0000000000000
21.000000000000	-0.016874932017142	0.015104896979216	549.99537644820	0.0000000000000
22.000000000000	-0.014334651404379	0.015945868952232	549.99537563386	0.0000000000000
23.000000000000	-0.010570296743488	-0.010936743551224	549.99516978473	0.0000000000000
24.000000000000	-0.013977938389098	-0.011879638174619	549.99507950038	0.0000000000000
25.000000000000	-0.018331572785389	-0.012026500249646	549.99509545427	0.0000000000000
26.000000000000	-0.023466022130191	-0.010670765416765	549.99510256871	0.0000000000000
27.000000000000	-0.028591846792868	-0.0070980794674860	549.99510409526	0.0000000000000
28.000000000000	-0.032291881210789	-0.0012296036706623	549.99510328547	0.0000000000000
29.000000000000	-0.033253858679940	0.0057618928638467	549.99510169706	0.0000000000000
30.000000000000	-0.031445797516788	0.012090150680473	549.99509998775	0.0000000000000
31.000000000000	-0.027985709407959	0.016626472246652	549.99509840170	0.0000000000000
32.000000000000	-0.024113441278531	0.019295298021152	549.99509701320	0.0000000000000
33.000000000000	-0.020529803024490	0.020576588331565	549.99509582201	0.0000000000000
