#
#"Run ID"	"curve2_Int_e-field (f=9) (1)"
#---------------------------------------
1.0000000000000	-2.7650985271599
2.0000000000000	-3.3554449202693
3.0000000000000	-4.0166458845500
4.0000000000000	-4.6614173207905
5.0000000000000	-5.1028905039345
6.0000000000000	-5.1164840228407
7.0000000000000	-4.6268634139608
8.0000000000000	-3.8104346808056
9.0000000000000	-2.9326441953446
10.000000000000	-2.1689366078433
11.000000000000	-1.5699669610586
12.000000000000	-3.3786045542095
13.000000000000	-4.0835847454028
14.000000000000	-4.8889005037129
15.000000000000	-5.6898941561787
16.000000000000	-6.2733709857712
17.000000000000	-6.3674516372564
18.000000000000	-5.8493593769289
19.000000000000	-4.8943968947963
20.000000000000	-3.8216192375065
21.000000000000	-2.8601861918189
22.000000000000	-2.0920977964580
23.000000000000	-4.0392117462283
24.000000000000	-4.8785239710495
25.000000000000	-5.8253949296848
26.000000000000	-6.7677896444572
27.000000000000	-7.4551027728783
28.000000000000	-7.5735839445372
29.000000000000	-6.9773961034084
30.000000000000	-5.8637600650907
31.000000000000	-4.6008589882828
32.000000000000	-3.4629064052971
33.000000000000	-2.5451355479858
34.000000000000	-4.6063241074622
35.000000000000	-5.5517281766304
36.000000000000	-6.6186422062178
37.000000000000	-7.6864099504655
38.000000000000	-8.4927832432295
39.000000000000	-8.6900162654623
40.000000000000	-8.0962958606759
41.000000000000	-6.8919334588147
42.000000000000	-5.4745895383464
43.000000000000	-4.1606116985636
44.000000000000	-3.0868637299738
45.000000000000	-5.1686873476755
46.000000000000	-6.2061003482750
47.000000000000	-7.3903926544189
48.000000000000	-8.5937624291395
49.000000000000	-9.5475262690273
50.000000000000	-9.8814815402365
51.000000000000	-9.3567758464155
52.000000000000	-8.1101929514418
53.000000000000	-6.5494380894796
54.000000000000	-5.0512038761283
55.000000000000	-3.7966286193288
56.000000000000	-5.5690214447397
57.000000000000	-6.6638880544141
58.000000000000	-7.9211620273978
59.000000000000	-9.2401096102840
60.000000000000	-10.365724912739
61.000000000000	-10.919496341062
62.000000000000	-10.592376250936
63.000000000000	-9.4237396044918
64.000000000000	-7.7969017898559
65.000000000000	-6.1370933655992
66.000000000000	-4.6924952367139
67.000000000000	-6.0482572018908
68.000000000000	-7.2087669752935
69.000000000000	-8.5461761752976
70.000000000000	-9.9369682730820
71.000000000000	-11.124025752813
72.000000000000	-11.726468758430
73.000000000000	-11.431881811207
74.000000000000	-10.259289517481
75.000000000000	-8.5793742862742
76.000000000000	-6.8277292138866
77.000000000000	-5.2762198061996
78.000000000000	-6.3711445148660
79.000000000000	-7.5796175995059
80.000000000000	-8.9711749717813
81.000000000000	-10.452299806755
82.000000000000	-11.793470408886
83.000000000000	-12.622877823523
84.000000000000	-12.580951113718
85.000000000000	-11.589439632725
86.000000000000	-9.9456411220369
87.000000000000	-8.0979472332269
88.000000000000	-6.3807572788744
89.000000000000	-6.7532091737202
90.000000000000	-7.9978381393399
91.000000000000	-9.4374396162623
92.000000000000	-10.979779816396
93.000000000000	-12.405692121345
94.000000000000	-13.357947948590
95.000000000000	-13.465256684320
96.000000000000	-12.598662772014
97.000000000000	-10.996457248483
98.000000000000	-9.0992617590714
99.000000000000	-7.2741633037867
100.00000000000	-7.1207066001892
101.00000000000	-8.4070706427532
102.00000000000	-9.8893898306052
103.00000000000	-11.480358975782
104.00000000000	-12.976131951339
105.00000000000	-14.034728737551
106.00000000000	-14.285710862777
107.00000000000	-13.557845115335
108.00000000000	-12.032641979955
109.00000000000	-10.122647976936
110.00000000000	-8.2146018697729
111.00000000000	-7.4771307208662
112.00000000000	-8.8049585081633
113.00000000000	-10.324776738167
114.00000000000	-11.958815018104
115.00000000000	-13.517617204794
116.00000000000	-14.679050873436
117.00000000000	-15.076587733696
